"county","House_Rent","Unemployed","Property.Tax","House_market_price","White_Race","Age","Population"
"Appling County",4.83,7.490046118,203.78,80515,73.4,38.9,18417
"Atkinson County",4.54,6.437804104,264.93,82853,62.2,35.1,8294
"Bacon County",5.03,4.069028432,238.29,69935,78.6,37.4,11222
"Baker County",5.28,6.356096337,508.59,79348,48.5,44.6,3292
"Baldwin County",6.68,6.6011391,215.38,113255,54.9,34.6,45795
"Banks County",7.55,7.874232671,229.37,135417,91.7,41,18336
"Barrow County",9.91,8.425229583,215.64,156433,78.8,35,72012
"Bartow County",8.72,8.534038055,261.01,160434,82.7,37.7,101336
"Ben Hill County",6.05,10.13626959,288.27,90092,59.2,37.9,17477
"Berrien County",5.46,12.57754915,261.67,93878,84.7,39.6,19019
"Bibb County",8.05,12.33754581,0,109505,43.2,35.9,154816
"Bleckley County",6.1,4.3398555,287.25,96996,70.1,39.7,12746
"Brantley County",5.08,10.91409716,0,75803,94.4,39.5,18452
"Brooks County",6.42,16.10679089,314.23,97227,59.9,42.3,15637
"Bryan County",11.47,8.386672799,277.02,228368,80.2,34.3,33151
"Bulloch County",7.68,8.400274551,244.87,149174,67.2,27.6,72386
"Burke County",5.68,7.700985296,230.99,88192,47.5,37.6,23007
"Butts County",8.48,8.830947987,311.27,144154,69.9,39,23445
"Calhoun County",5.52,6.93910181,296.4,63031,34.7,39.2,6489
"Camden County",9.54,7.835740916,293.14,168268,74.4,32,51445
"Candler County",6.11,8.034252034,242.55,99112,65.9,38.7,11031
"Carroll County",8.37,10.60621153,164.17,139323,75.6,34.4,112595
"Catoosa County",8.11,7.02639558,158.37,145479,93.6,40.2,65375
"Charlton County",5.89,12.75149791,407.41,91316,68.6,38.3,13130
"Chatham County",10.03,8.933294924,420.03,191463,52.8,34.7,279290
"Chattahoochee County",11.07,10.42909417,0,63985,68.8,24,11914
"Chattooga County",5.25,8.810859038,207.55,71161,83.9,39.9,25241
"Cherokee County",12.25,5.956895345,281.84,247982,86.6,38.2,225944
"Clarke County",8.32,8.233310039,0,170208,61.9,27.2,120905
"Clay County",4.16,18.12230347,524.63,77285,37.6,47.1,3104
"Clayton County",9.27,13.19061378,313.23,101326,18.9,32.6,267234
"Clinch County",4.17,8.925846795,448.29,64590,67.4,36.8,6791
"Cobb County",11.63,7.46944442,359.11,249205,62.2,36.3,719133
"Coffee County",5.47,7.641723321,142.65,92876,64.7,35.4,43003
"Colquitt County",5.91,7.857152148,318.84,88644,64.7,35.8,46024
"Columbia County",11.43,6.619002963,194.99,197321,76.5,36.3,136204
"Cook County",6.46,6.562661699,222.62,95771,67,37.3,17033
"Coweta County",10.78,6.279098855,257.79,208208,75.9,38,133416
"Crawford County",7,10.00819823,265.14,89289,74.6,44,12539
"Crisp County",5.94,13.92527448,277.31,109357,53.3,39.1,23314
"Dade County",6.66,5.597330907,209.45,131273,96,41.2,16445
"Dawson County",10.59,7.484130662,391.46,238316,95.6,43.4,22673
"Decatur County",6.42,6.983558773,325.86,127399,54.2,38.5,27378
"DeKalb County",11.05,10.69474892,402.08,196431,33.3,35.4,716331
"Dodge County",5.5,9.558645345,201.64,75615,66.8,40.6,21180
"Dooly County",4.92,13.82956117,353.12,81294,45.6,42.1,14293
"Dougherty County",7.18,16.41409174,318.82,102710,29.6,34.9,93310
"Douglas County",10.21,9.70003155,338.07,148101,52.5,36.2,136520
"Early County",5.78,8.854285714,371.25,90871,48.4,40.5,10579
"Echols County",5.41,10.78803602,0,69258,74.9,34.2,4048
"Effingham County",10.51,5.528964124,238.16,178164,82.6,35.9,54630
"Elbert County",5.76,10.06036858,274.78,91762,65.9,42.7,19537
"Emanuel County",5.59,12.20687577,251.84,75503,61.6,37.3,22731
"Evans County",6.68,9.361196721,187.21,97887,58.8,36.5,10814
"Fannin County",6.5,10.86540345,256.19,183302,97.1,51.1,23742
"Fayette County",13.05,6.921040967,281.58,267203,71.1,43.5,108655
"Floyd County",7.28,10.93784784,267.09,126658,76.9,38.1,96169
"Forsyth County",14.75,5.979823889,324.78,332421,85.4,38.2,196236
"Franklin County",5.8,7.376677826,0,114369,87.3,41.2,22110
"Fulton County",11.58,9.751459366,514.02,305201,44.5,35.2,983903
"Gilmer County",7.01,9.012292954,274.18,155462,92.3,46,28673
"Glascock County",4.84,6.301016139,316.22,73833,89.8,41.1,3087
"Glynn County",8.47,9.008004591,372.8,183896,67.6,40.9,81743
"Gordon County",7.04,7.825908994,266.36,125839,85.2,37.7,55889
"Grady County",6.89,9.288219768,232.06,128178,62.8,38.9,25243
"Greene County",7.51,6.208540443,527.4,188536,56.6,49.5,16331
"Gwinnett County",12.07,7.776212986,370.66,203541,53.3,34.9,859234
"Habersham County",7.09,6.559534547,276.96,146441,85.7,39.5,43527
"Hall County",9.32,7.217533612,251.73,191122,74.1,36.3,187916
"Hancock County",6.02,14.5792625,0,74279,24.4,45.5,8881
"Haralson County",7.11,12.19404474,306.23,130991,92.8,39.8,28565
